id,x,y,village,locality
109,34.1665,13.20194444,Kakoom,Al Dindir
110,34.15,13.22211111,Al liwaisa,Al Dindir
111,34.15513889,13.23594444,Hilat Hassan,Al Dindir
112,34.14875,13.24797222,Om Hajar,Al Dindir
113,34.17502778,13.25988889,Jarjar,Al Dindir
114,34.10830556,13.28277778,Al Tikaina Almahadi,Al Dindir
115,34.11558333,13.27716667,Hilat Salih,Al Dindir
116,34.12305556,13.26838889,Al Taweela,Al Dindir
117,34.09913889,13.117,Al Mukhamasa,Al Dindir
118,34.03275,13.31711111,Wad Jad Alseed,Al Dindir
119,34.025,13.31630556,Babanoosa,Al Dindir
120,33.99405556,13.31761111,Al Sanda Abu Imaira,Al Dindir
121,34.06025,13.24380556,Beer Ombali,Al Dindir
122,34.09222222,13.29277778,Al Azaza Damoos,Al Dindir
123,34.71919444,12.87133333,Injamaina,Al Dindir
124,34.77686111,12.85163889,Om Sagit,Al Dindir
125,34.65163889,12.87811111,Al rigaiba,Al Dindir
126,34.799,12.84908333,Om Bagara Sharig,Al Dindir
127,34.6445,12.92755556,Jaladook,Al Dindir
128,34.53672222,12.94427778,Wad Al Jook,Al Dindir
129,34.51136111,12.98327778,Wad Al Fadil,Al Dindir
130,34.49558333,12.94847222,Al Amarna,Al Dindir
131,34.50172222,12.93752778,Al Falateen Om Shirad,Al Dindir
132,34.51088889,12.98938889,Al Amarna Wad Alfadil (Azaza),Al Dindir
133,34.64113889,12.96433333,Al Azaza Banat,Al Dindir
134,34.62975,12.95633333,Um Agrab,Al Dindir
135,34.60925,12.95116667,Nur Aljaleel,Al Dindir
136,34.51577778,13.01477778,Abu Rakhees,Al Dindir
137,34.47516667,13.01836111,Dabarki,Al Dindir
138,34.41438889,12.98236111,Al Hijairab,Al Dindir
139,34.43655556,12.97083333,Al Zindiya (Azazi),Al Dindir
140,34.47166667,12.97052778,Wad Al Bahlool,Al Dindir
141,34.39330556,12.97663889,Al Malasi,Al Dindir
142,34.36761111,13.02727778,Al Takambari,Al Dindir
143,34.32872222,13.04241667,Om Dihair,Al Dindir
144,34.29936111,13.04597222,Girdiya,Al Dindir
145,34.29563889,13.03902778,Al Mawajda,Al Dindir
146,34.29161111,13.06530556,Amarat Alfadil,Al Dindir
147,34.2845,13.07305556,Abu Raw,Al Dindir
148,34.24941667,13.07822222,Jabboor,Al Dindir
149,34.22791667,13.09697222,Wad Dooda,Al Dindir
150,34.22819444,13.12258333,Al Daggag,Al Dindir
