id,x,y,village,locality
124,36.022099,13.285,tokar,Eastern El Qalabat
125,36.020699,13.2629,Gds,Eastern El Qalabat
126,35.793301,13.4673,sanon,Eastern El Qalabat
127,35.24038,15.00076,abo gambeel el shershb,El Butana
128,34.69768,15.02932,abo geraad,El Butana
129,35.04381,14.951,arrugail,El Butana
130,34.77502,14.69074,edad banat,El Butana
131,34.79724,14.63655,edad el hamar,El Butana
132,34.71232,14.6995,edad sameena,El Butana
133,34.74616,14.6559,edad shaa el deen,El Butana
134,34.76585,14.72487,edad touwal,El Butana
135,34.7715,14.70295,edad wad elzain,El Butana
136,34.57526,15.41221,el bahogy,El Butana
137,35.11444,14.97798,el beras,El Butana
138,33.80893,15.54667,el derehan,El Butana
139,34.9251,14.72841,el elaw,El Butana
140,35.02291,15.04166,el fool,El Butana
141,33.70035,15.47817,el gadoorab,El Butana
142,34.99738,15.02667,el gafala,El Butana
143,35.03135,15.18473,el geleeb,El Butana
144,35.04725,14.41675,el hesneeyah,El Butana
145,34.29613,15.37838,el hagar,El Butana
146,35.1391,14.885,el hushaib,El Butana
147,35.03728,15.23603,el sadda,El Butana
148,35.03728,15.23603,el sadda ganoob,El Butana
149,33.78605,15.49071,el shebeak(el hasnab),El Butana
150,34.80398879,15.29726239,el subaag,El Butana
151,34.70593,15.49257,el sufayah,El Butana
152,34.86549,14.99024,el tekoon,El Butana
153,35.13137,15.11196,gaad allah,El Butana
154,33.76625,15.56982,geyli el gelea,El Butana
155,33.73272,15.51277,geyli el souk,El Butana
156,35.09872,14.83922,hushaib arakeen,El Butana
157,35.21342,14.97419,jabal el geer,El Butana
158,34.68707,15.35119,reara,El Butana
159,34.95509,14.83289,serooj mahmood,El Butana
160,35.04976,14.94494,suroj monana,El Butana
161,34.2851,15.66918,um khatam,El Butana
162,34.38406,15.61704,um rewashed,El Butana
163,34.8845,14.70651,um sarha,El Butana
164,33.8381,15.63375,wad agwa,El Butana
165,34.38165,15.79583,el geleata,El Butana
166,34.755299,15.3198,Halat Hamad,El Butana
167,35.91096,14.77033,abu gengel,El Fashaga
168,35.88235,14.83705,al dwah,El Fashaga
169,35.99279,14.05609,ajab sedo,El Fashaga
170,35.99341,14.05464,ajab sedoo,El Fashaga
171,36.2304,13.87643,alban jadeed(El fashaga),El Fashaga
172,35.90791,14.76325,al sharfa,El Fashaga
173,35.9663,14.23967,burgoma,El Fashaga
174,36.07227,13.96316,darabi shareg,El Fashaga
175,36.23965,13.94815,el geleea,El Fashaga
176,36.36195,14.26572,el godeemah,El Fashaga
177,35.86919,14.63562,el japparap,El Fashaga
178,35.86761,14.59253,el mansoora,El Fashaga
179,35.87741,14.43734,el merebeea,El Fashaga
180,35.87486,14.27402,el morabaa,El Fashaga
181,35.87756,14.62325,el mugasema,El Fashaga
182,35.74144,14.40599,el muharrgat,El Fashaga
183,35.90239,14.2466,el rymeela,El Fashaga
184,35.87802261,14.55844518,el shareef hasb allah,El Fashaga
185,35.84364,14.30082,el toomat,El Fashaga
186,35.93951,14.10642,elbahkar gareb,El Fashaga
187,35.8839,14.47824,hajar abyad,El Fashaga
188,35.87036,14.49249,ilayan,El Fashaga
189,35.65598,14.61852,karkoora,El Fashaga
190,35.87024,14.50076,katoota,El Fashaga
191,35.8551,14.4967,mabrooka,El Fashaga
192,35.86887,14.69185,mageet abd elnabi,El Fashaga
193,35.86507,14.64373,el mugata el zain,El Fashaga
194,35.86386,14.6711,al mugata suge,El Fashaga
195,35.9135,14.80492,el shagrab janoob,El Fashaga
196,35.88114,14.71216,shalateeb,El Fashaga
197,35.88574,14.46215,shengerara,El Fashaga
198,35.89478,14.74293,al tartar,El Fashaga
199,35.92321,14.21946,taybah(El Fashaga),El Fashaga
200,35.635,14.50552,um gargoor,El Fashaga
201,35.87605,14.6972,wad el faki,El Fashaga
202,35.85873,14.53671,wad el hadey,El Fashaga
203,35.87752,14.58217,wad el khedir,El Fashaga
204,35.87077,14.60275,wad el naeem,El Fashaga
205,35.88224,14.71741,wad farah,El Fashaga
206,35.88429,14.5683,wad hassan,El Fashaga
207,35.87006,14.60701,wad ieesa,El Fashaga
208,35.88271,14.70723,wad mageet,El Fashaga
209,35.88658,14.57491,wad mageet showat,El Fashaga
210,35.87627,14.70154,wad matar,El Fashaga
211,35.8699,14.63867,wad sewar,El Fashaga
212,35.87132,14.30872,mugran seteet,El fashaga
213,35.865297,14.581708,almadina Arab,El fashaga
214,35.878934,14.227196,madina1,El fashaga
215,36.049276,14.058151,madina2,El fashaga
216,35.877662,14.004427,madina3,El fashaga
217,36.02825,14.17853,madina6,El fashaga
218,36.083944,14.153969,madina7,El fashaga
219,36.123651,14.174564,madina8,El fashaga
220,34.07712,13.91389,abo ashoosh,El Faw
221,34.14215,14.10223,banat el lauta,El Faw
222,34.21902,13.80259,cambo 10,El Faw
223,34.2712,13.80596,cambo 6,El Faw
224,34.25784,13.79419,cambo 7,El Faw
225,34.10891,13.8884,cambo abo zahrah,El Faw
226,34.14231,13.88824,cambo alban jadeed,El Faw
227,34.19421,13.84224,dar el salam,El Faw
228,33.95895,14.11673,el akaas,El Faw
229,34.20251,14.10368,el benayah el sadgab,El Faw
230,33.99189,14.33622,el bewayda,El Faw
231,34.12226,14.12401,el bwadrah,El Faw
232,34.01862,13.99786,el degerab,El Faw
233,34.32172,14.15887,el dubasyeen,El Faw
234,34.08646,14.1111,el faw,El Faw
235,33.97398,14.07058,el jaafrah,El Faw
236,34.28619,14.16526,el semeryat,El Faw
237,34.31173,13.79515,Garya1,El Faw
238,34.21105,14.01053,Garya11,El Faw
239,34.17527,14.01201,Garya12,El Faw
240,34.09783,14.00765,Garya14,El Faw
241,34.13504,14.01204,Garya13,El Faw
242,34.05682,14.01763,Garya15,El Faw
243,34.20268,14.09695,Garya16,El Faw
244,34.09103,14.0772,Garya17,El Faw
245,34.01941,14.08524,Garya18,El Faw
246,34.0209,14.13697,Garya19,El Faw
247,34.25316,13.81637,Garya2,El Faw
248,33.97411,14.14984,Garya20,El Faw
249,34.31072,13.83562,Mejar1,El Faw
250,34.2677,13.85222,Garya3,El Faw
251,34.25481,13.94063,elrai36,El Faw
252,34.26324,13.94574,Garya36,El Faw
253,34.20264,13.864,Garya4,El Faw
254,34.25027,13.89028,Garya5,El Faw
255,34.22702,13.9242,Garya6,El Faw
256,34.15248,13.92176,Garya7,El Faw
257,34.08883,13.93627,Garya8,El Faw
258,34.11347,14.13265,Garya elmamoorah,El Faw
259,34.16493,14.04659,Gantra 60,El Faw
260,34.12306,13.86326,haj idrees,El Faw
261,34.24799,14.13961,harerah el maashrah,El Faw
262,34.26142,14.15227,harerah el rtamat,El Faw
263,34.16072,14.10181,jabal el meleh,El Faw
264,34.12001,13.81521,kahelah,El Faw
265,34.20591,13.83222,mabrooka,El Faw
266,34.10647,14.10881,mabrooka,El Faw
267,34.12603,14.04707,mejar 4,El Faw
268,34.05546,14.18071,mejar 5,El Faw
269,34.03688,14.08686,mayo,El Faw
270,34.34132,13.79088,reweena,El Faw
271,34.04501,13.97589,sabreen,El Faw
272,33.99023,14.04487,shrab,El Faw
273,33.93658,14.13156,um gradah,El Faw
274,34.09459,13.86122,um tareezah,El Faw
275,34.36203,13.77316,wad el ard,El Faw
276,34.2369,14.13352,wad el faki,El Faw
277,34.28333,14.13123,wad el hewery,El Faw
278,34.18552,14.12358,wad el mada,El Faw
279,34.112,14.11681,wad gees,El Faw
280,34.2289,14.12579,wad ikheeshin(hareera),El Faw
281,34.05194,13.99216,wad ikheeshn (albahar),El Faw
282,34.16982,14.1262,wad noreen,El Faw
283,34.21022,14.09411,wad reheemah,El Faw
284,34.1983,14.12265,wad sageer,El Faw
285,33.99418,14.02931,wad saneen,El Faw
286,34.16804,13.76857,el leweesah,El faw
287,34.22104,13.73751,el shalalah,El faw
288,34.139205,13.962319,Garya10,El Faw
289,35.88401306,13.66423315,abo glood,El Quresha
290,36.0959,13.74964,areydah shamal,El Quresha
291,36.095655,13.740521,aryedah ganoob,El Quresha
292,36.13685451,13.64791129,burbur el fogara,El Quresha
293,36.15833,13.80129,cambo dajo,El Quresha
294,36.20171,13.74902,daw gendeebah,El Quresha
295,36.16539,13.78548,el edreyah,El Quresha
296,35.84347015,13.70381874,el galah,El Quresha
297,35.81346549,13.71648839,el galah el donky,El Quresha
298,35.92668223,13.71578486,el goreeshah,El Quresha
299,35.83501,13.90245,eltamargoo,El Quresha
300,36.24924,13.68466,gazeerat el dabey,El Quresha
301,36.14117796,13.62830992,jabal gana,El Quresha
302,35.93396765,13.61671451,kakom,El Quresha
303,36.1968033,13.59336301,khoor zaraf,El Quresha
304,36.09393,13.87987,kona gamar,El Quresha
305,36.08623,13.89109,kona zaburma,El Quresha
306,36.25834579,13.52448133,marbatah,El Quresha
307,36.11817,13.72155,mudardamah,El Quresha
308,36.30809548,13.58049216,muderyeah al jika ,El Quresha
309,36.24073621,13.51726927,mushra  el neel,El Quresha
310,36.10991,13.85809,sefawa,El Quresha
311,36.16291,13.78623,sharboob gareb,El Quresha
312,36.16539,13.78548,sharboob shareg,El Quresha
313,35.86764016,13.74613,shuayb,El Quresha
314,36.09368328,13.62289744,tabarak allah,El Quresha
315,36.28884,13.61825,el tybar,El Quresha
316,36.22887,13.71619,um gezaz gareb,El Quresha
317,36.22887,13.71619,um gezaz shareg,El Quresha
318,36.22050806,13.5262717,um tawakal,El Quresha
319,36.27707,13.66702,wad aarood,El Quresha
320,36.09686013,13.67998119,wad harrey,El Quresha
321,36.28278193,13.54616691,wad kawley,El Quresha
322,35.93887721,13.75697702,wad yusuf,El Quresha
323,36.161065,13.483187,birkt Norein,El Quresha
324,36.171622,13.500855,Edd elforsan,El Quresha
325,36.297159,13.605669,Al Asirra,El Quresha
326,36.168999,13.5556,Saraf Aradeiba,El Quresha
327,36.032058,13.948944,madina4,El Quresha
328,35.912506,13.876911,madina5,El Quresha
329,34.52976,13.58771,abu digin,EL Rahad
330,34.91524,13.13585,abu nahal shareg,EL Rahad
331,34.95217,13.0612,abu tarboosh,EL Rahad
332,34.84899,13.18513,alban jadeed(EL Rahad),EL Rahad
333,35.0668,12.91629,ali babeker,EL Rahad
334,34.76577,13.34612,anjameenah,EL Rahad
335,34.93396,13.10542,bazora ,EL Rahad
336,34.6027,13.41739,helat beilo,EL Rahad
337,34.99415,13.0812,cambo ibeed,EL Rahad
338,34.53789,13.47701,dabanga,EL Rahad
339,34.60416,13.44269,dankola,EL Rahad
340,35.01722,13.10837,dar el radi,EL Rahad
341,35.15248,12.889,dar el salam,EL Rahad
342,34.52861,13.48044,deel abeh,EL Rahad
343,34.65226,13.36944,dorah,EL Rahad
344,34.64166,13.4001,el amarah(El Rahad) near El hawata,EL Rahad
345,34.83688,13.19744,el amereyah,EL Rahad
346,34.72499,13.26128,el baboon,EL Rahad
347,35.01953,12.97524,el dareesah,EL Rahad
348,34.55205,13.59348,el engaz,EL Rahad
349,34.79685,13.20509,el geregreeb,EL Rahad
350,35.07637,12.90813,el hano el azrag shareg,EL Rahad
351,35.07275,12.90151,el hano el azrag gareb,EL Rahad
352,35.12497,12.9053,el hano el sheteeb,EL Rahad
353,35.10898,12.90151,el jamam gareb,EL Rahad
354,35.10569,12.91656,el jamam shareg,EL Rahad
355,35.21105,12.82713,el khayrat(EL Rahad),EL Rahad
356,34.5221,13.49046,el kofah,EL Rahad
357,35.00843,12.90837,el rumeelah,EL Rahad
358,34.68026,13.3288,el seysabanah,EL Rahad
359,34.82122,13.23012,el shamam,EL Rahad
360,34.94655,13.10353,el toob el ahmar,EL Rahad
361,34.67076,13.36731,el yas,EL Rahad
362,34.56784,13.47765,Gargosha,EL Rahad
363,34.97946,13.00225,gadoorah shareg,EL Rahad
364,34.96588,13.00311,gadorah gareb,EL Rahad
365,34.98491,13.17756,gala el bagar,EL Rahad
366,34.80984,13.65308,gemi,EL Rahad
367,34.62741,13.3868,garmey,EL Rahad
368,34.76107,13.26645,garyat abdulateef,EL Rahad
369,34.42067,13.71695,hanan,EL Rahad
370,34.66488,13.37887,hilat ali (near El hawata),El Rahad
371,34.89799,13.14066,hilat ali (near Wad Miskeen),El Rahad
372,34.6061,13.45023,hilat burbur,EL Rahad
373,34.65299,13.39424,hilat el khalifah bazora,EL Rahad
374,34.58146,13.44333,hilat gasim,EL Rahad
375,35.06021,12.91509,hilat hashem,EL Rahad
376,34.95328,13.07193,hilat ishag,EL Rahad
377,34.90481,13.14884,hilat maren,EL Rahad
378,34.59968,13.42419,hilat salih,EL Rahad
379,34.53009,13.60951,hilat yusif,EL Rahad
380,35.15983,12.8622,iyn el jamal,EL Rahad
381,34.72041,13.32459,jazeerat fatima,EL Rahad
382,34.857,13.1821,kamar el basheer,EL Rahad
383,34.73054,13.28326,kamar salamat,EL Rahad
384,34.55172,13.47235,kameer,EL Rahad
385,34.79808,13.23818,kamel nomak,EL Rahad
386,35.13247,12.9011,kashm el batah,EL Rahad
387,34.67497,13.38236,kunah,EL Rahad
388,34.56376,13.46888,malalah,EL Rahad
389,34.9441,13.07575,marsela,EL Rahad
390,34.95463,13.08558,mushra koka,EL Rahad
391,34.69553,13.33691,mykankah,EL Rahad
392,34.5235,13.61813513,NA,EL Rahad
393,35.15048,12.8803,nor el madeenah,EL Rahad
394,34.5178,13.51558,oshara garib,EL Rahad
395,34.93343,13.08771,rofa,EL Rahad
396,35.03004266,13.01197599,rumbeek(eldressa),EL Rahad
397,34.49891,13.42035,salatena,EL Rahad
398,35.04779,12.93621,sanger,EL Rahad
399,34.54081,13.45511,sarkal tomah,EL Rahad
400,34.68169,13.34562,sharmah,EL Rahad
401,34.91661,13.10312,tawakalna,EL Rahad
402,34.91239,13.10059,taybah(El Rahad),EL Rahad
403,34.93112,12.96452,um adarah,EL Rahad
404,35.14595,12.89326,um el kheer,EL Rahad
405,35.12497,12.88764,um el kheer gareb,EL Rahad
406,34.52515,13.5045,um hijeleejah,EL Rahad
407,35.16264,12.87526,um kakar gareb,EL Rahad
408,34.86882,13.17534,um rakooba(El Rahad),EL Rahad
409,35.18147,12.84283,um salala gareb,EL Rahad
410,34.88976,13.03606,um sedrah,EL Rahad
411,34.60845,13.40016,um teleeh,EL Rahad
412,34.7449,13.27315,um wadeekah,EL Rahad
413,34.79953,13.24683,wad abakar,EL Rahad
414,34.8104,13.19972,wad abu auzaz,EL Rahad
415,34.83157,13.20848,wad batool,EL Rahad
416,34.61155,13.3838,wad el shaeir,EL Rahad
417,34.78001,13.22205,wad gamzon,EL Rahad
418,34.85894,13.17284,wad hamad,EL Rahad
419,34.88825,13.14915,wad meskeen,EL Rahad
420,34.88919,13.16228,Wad meskeen shareg,EL Rahad
421,34.58967,13.4612,Zama,EL Rahad
422,34.57215,13.25777,shalaey,EL Rahad
423,34.16394,13.86227,el meegrah,Middle Qadareef
424,35.1294,14.05616,abo kashma,Middle Qadareef
425,34.96707,14.36552,abo sena eldabiy,Middle Qadareef
426,35.38709,14.08725,add el teen,Middle Qadareef
427,35.22911,14.05524,allayah,Middle Qadareef
428,35.29934,14.13083,azaza el matar,Middle Qadareef
429,34.87637,13.94323,cambo 4,Middle Qadareef
430,34.8693,13.85405,cambo 7,Middle Qadareef
431,34.78454,13.92528,cambo 5,Middle Qadareef
432,35.43116,14.02312,dalasah  abo anja,Middle Qadareef
433,35.44339,14.01562,dalasah el shawarab,Middle Qadareef
434,35.43228,14.01829,dalasah el umdah,Middle Qadareef
435,35.42535,14.03407,dalasah elarakeyeen,Middle Qadareef
436,35.61343,14.16642,dar el zain,Middle Qadareef
437,35.50452,14.076,el agal,Middle Qadareef
438,34.55808,14.0485,el agleen,Middle Qadareef
439,35.46347,14.03896,el amarah wasat,Middle Qadareef
